Year-Month,Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Clim_ID,H1,Environment and Climate Change Canada
1986-01,ABITIBI CAMP 11,48.85,-89.117,ON,-15.4,0,NA,3.5,0,-38,0,24.6,0,NA,24.6,0,NA,79,6,,,NA,1035.7,0,6040011,,
1986-01,ABITIBI CAMP 300,49.633,-89.75,ON,-17.5,0,NA,-2,0,-39,0,10,0,NA,10,0,NA,52,3,,,NA,1100.5,0,6040022,,
1986-01,ALBION,43.933,-79.833,ON,,,NA,,,,,14.2,0,NA,22.7,0,NA,,9,,,NA,,,6150100,,
1986-01,ALBION FIELD CENTRE,43.917,-79.833,ON,-6.9,4,0.1,6.5,3,-28.6,3,17,3,NA,25.4,3,NA,,9,64.6,2.916666667,NA,672.3,0,6150103,,
1986-01,ALFRED,45.55,-74.883,ON,-10.6,7,NA,5.5,6,-31,6,0,13,NA,0,16,NA,,0,,,NA,686.1,0,6100172,,
1986-01,ALLISTON NELSON,44.15,-79.867,ON,-6.4,0,0.1,7,0,-25.5,0,19.4,0,55,30,0,56,7,11,,,NA,755.5,0,6110218,,
1986-01,ARNPRIOR GRANDON,45.417,-76.367,ON,-10.5,0,1,5,0,-30,0,17,0,45,38,0,67,11,7,,,NA,882.3,0,6100345,,
1986-01,ARTHUR,43.817,-80.567,ON,-7.5,0,NA,5,0,-25.5,0,51,0,NA,58.4,0,NA,,13,,,NA,790.1,0,6140348,,
1986-01,ATIKOKAN,48.75,-91.617,ON,-15.1,0,NA,7.5,0,-39.8,0,43.7,0,NA,25.6,0,NA,50,6,90.5,0,NA,1027.1,0,6020379,,
1986-01,AVONMORE,45.17,-74.971,ON,-9.5,0,0.8,5,0,-28,0,31.2,0,62,75.2,0,97,,14,,,NA,854,0,6100398,,
1986-01,AYLMER ONT HYDRO,42.783,-80.983,ON,,,NA,,,,,28.2,0,NA,42.2,0,NA,,13,,,NA,,,6130420,,
1986-01,BALLANTRAE,44.05,-79.3,ON,,,NA,,,,,22.8,0,NA,37.2,0,NA,11,10,,,NA,,,6150460,,
1986-01,BANCROFT L'AMABLE,45,-77.8,ON,-10.6,1,NA,4.5,1,-33,1,25.4,2,NA,47.4,2,NA,36,11,,,NA,858.2,0,6160468,,
1986-01,BARRIE WPCC,44.383,-79.683,ON,-8,0,-0.3,7,0,-28,0,51.2,0,78,62.9,0,76,8,12,,,NA,805.5,0,6110557,,
1986-01,BARWICK,48.633,-93.967,ON,-13.7,0,1.6,8,0,-40,0,29.2,0,99,29.2,0,98,42,5,,,NA,982.8,0,6020559,,
1986-01,BEARDMORE,49.617,-87.95,ON,-18,0,NA,3,0,-47,0,36.5,0,NA,36.5,0,NA,81,6,,,NA,1116.1,0,6040572,,
1986-01,BEATRICE 2,45.133,-79.4,ON,-11,0,-0.3,7.5,0,-35.5,0,88.2,0,102,103.2,0,90,35,18,,,NA,897.7,0,6110606,,
1986-01,BELLEVILLE,44.15,-77.4,ON,-6.5,0,0.2,7,0,-24.5,0,18.6,0,51,53,0,79,8,9,,,NA,760.2,0,6150689,,
1986-01,BIG TROUT LAKE,53.833,-89.867,ON,-22.4,0,NA,-4,0,-36.8,0,23.2,0,NA,19.9,0,NA,41,5,97.9,0,NA,1251.5,0,6010738,,
1986-01,BISCOTASING,47.3,-82.1,ON,,,NA,,,,,26.6,0,NA,26.6,0,NA,,7,,,NA,,,6060773,,
1986-01,BLIND RIVER HYDRO CENTRE,46.2,-83.017,ON,-11.2,0,NA,4,0,-31.5,0,28,0,NA,22,0,NA,47,4,,,NA,905.7,0,6050805,,
1986-01,BLOOMFIELD,43.983,-77.217,ON,,,NA,,,,,57,0,NA,74.8,0,NA,17,14,,,NA,,,6150815,,
1986-01,BLOOMFIELD WEST,43.983,-77.25,ON,,,NA,,,,,5.5,10,NA,27.6,10,NA,,6,,,NA,,,6150816,,
1986-01,BLYTH,43.717,-81.383,ON,-7,0,-0.1,18,0,-22,0,93.4,0,90,106.4,0,82,,18,,,NA,775.7,0,6120819,,
1986-01,BOLTON SPS,43.883,-79.733,ON,-6.4,0,NA,6,0,-27,0,11,4,NA,23.2,4,NA,,7,,,NA,756.2,0,6150825,,
1986-01,BONFIELD,46.217,-79.133,ON,-13.2,0,NA,5.5,0,-32,0,60.4,0,NA,71.5,0,NA,30,17,,,NA,966.2,0,6080HB6,,
1986-01,BORDEN STP,44.3,-79.9,ON,-6.5,0,NA,8,0,-27,0,53,0,NA,64,0,NA,10,16,,,NA,758.5,0,6110HK7,,
1986-01,BOWMANVILLE MOSTERT,43.917,-78.667,ON,-5.9,0,-0.3,7,0,-24.5,0,7,0,23,28,0,44,3,7,,,NA,741.3,0,6150830,,
1986-01,BRACEBRIDGE,45.05,-79.317,ON,-10.1,0,NA,7,0,-32,0,71.6,0,NA,83.2,0,NA,48,22,,,NA,871.9,0,6110851,,
1986-01,BRACEBRIDGE ONT HYDRO,45.033,-79.3,ON,-9.7,0,NA,8,0,-34,0,85.2,0,NA,85.2,4,NA,,12,,,NA,859.2,0,6110854,,
1986-01,BRADFORD MUCK RESEARCH,44.033,-79.6,ON,-6.9,0,0,7,0,-26,0,31.2,0,94,36.4,0,69,,10,,,NA,771.9,0,6150863,,
1986-01,BRAMPTON MOE,43.667,-79.7,ON,-6,5,NA,7,2,-24,5,8.7,0,NA,25.5,0,NA,,7,,,NA,624.9,0,6150916,,
1986-01,BRANTFORD MOE,43.133,-80.233,ON,-5.3,0,0.7,8,0,-23.5,0,16.2,0,60,30.6,0,56,5,9,,,NA,722.6,0,6140954,,
1986-01,BRECHIN BEACH,44.533,-79.2,ON,-11.7,22,NA,0.5,22,-30,22,11.2,15,NA,11.2,19,NA,,3,,,NA,267.7,0,611095R,,
1986-01,BROCKVILLE PCC,44.6,-75.667,ON,-8,2,-0.2,9.5,0,-24,2,26.4,0,54,58.8,0,75,,9,,,NA,753.8,0,6100971,,
1986-01,BRUCEFIELD,43.55,-81.55,ON,-6.1,0,NA,6,0,-25,0,39.6,0,NA,48.6,0,NA,,7,,,NA,746.5,0,6121025,,
1986-01,BURKETON MCLAUGHLIN,44.033,-78.8,ON,-7.9,0,-0.5,6.5,0,-25,0,10.8,0,29,25,0,41,,10,79.8,0,109,803,0,6151042,,
1986-01,BURKS FALLS,45.6,-79.567,ON,-10.1,0,NA,4,0,-32.5,0,71.8,0,NA,83,0,NA,60,18,,,NA,870.2,0,6111045,,
1986-01,BURLINGTON TS,43.333,-79.833,ON,-4.2,0,0.2,9,0,-21,0,8.2,0,24,26.2,0,40,,6,,,NA,687.7,0,6151064,,
1986-01,CAMBRIDGE GALT MOE,43.333,-80.317,ON,-5.2,1,NA,7,0,-22,1,27,0,NA,37,0,NA,,13,,,NA,696.7,0,6141095,,
1986-01,CAMBRIDGE-STEWART,43.35,-80.3,ON,,,NA,,,,,20,0,NA,27,0,NA,,8,,,NA,,,6141100,,
1986-01,CAMERON FALLS,49.15,-88.35,ON,-14.9,0,1.2,4,0,-37,0,41.4,0,75,41.4,0,75,,12,,,NA,1020.4,0,6041109,,
1986-01,CAMPBELLCROFT GANARASKA,44.067,-78.5,ON,-7.9,1,NA,5.5,0,-29.5,1,23.2,0,NA,49.6,0,NA,17,12,,,NA,776.3,0,6151136,,
1986-01,CAMPBELLFORD,44.3,-77.8,ON,,,NA,,,,,39,0,NA,65.4,0,NA,,11,,,NA,,,6151137,,
1986-01,CARLETON PLACE,45.15,-76.2,ON,-9.2,0,NA,16,0,-27,0,37.8,0,NA,59.1,0,NA,,12,,,NA,843.9,0,6101250,,
1986-01,CATARAQUI TS,44.367,-76.617,ON,-8.2,0,NA,8,0,-27,0,27.8,0,NA,52.9,0,NA,,12,,,NA,811.4,0,6101265,,
1986-01,CENTREVILLE,44.4,-76.917,ON,-8.6,0,-0.9,6.5,0,-32,0,23.6,0,55,57,0,71,7,10,,,NA,824.7,0,6151309,,
1986-01,CHALK RIVER AECL,46.05,-77.367,ON,-11.9,0,-0.1,4,0,-29,0,26.2,0,62,42.5,0,77,,11,,,NA,926.8,0,6101335,,
1986-01,CHAPLEAU A,47.82,-83.347,ON,-16.6,1,-1,1,1,-36.5,1,31.4,0,56,31.4,0,61,,11,,,NA,1038.8,0,6061361,,
1986-01,CHATHAM WPCP,42.383,-82.2,ON,-4.9,0,-1.3,8,0,-21,0,18.6,0,60,35.2,0,56,,13,,,NA,709.9,0,6131415,,
1986-01,CHATS FALLS,45.467,-76.233,ON,-9.6,0,NA,5.5,0,-27,0,25.5,0,NA,37.5,0,NA,,11,,,NA,856.1,0,6101440,,
1986-01,CHATSWORTH,44.395,-80.905,ON,-7,0,-0.1,7,0,-26,0,81.2,0,87,101.6,0,87,,22,,,NA,775.1,0,6111467,,
1986-01,CHENAUX,45.583,-76.683,ON,-10.2,0,NA,6.5,0,-28.5,0,20.4,0,NA,49.4,0,NA,,11,,,NA,874.1,0,6101494,,
1986-01,CHESTERVILLE 2,45.017,-75.2,ON,-9.3,0,NA,7,0,-29,0,33.2,0,NA,54.2,0,NA,,11,,,NA,847,0,6101502,,
1986-01,CHRISTIE CONSERVATION,43.283,-80.017,ON,,,NA,,,,,12.4,0,NA,20.7,0,NA,,9,,,NA,,,6151512,,
1986-01,CLAREMONT,43.95,-79.067,ON,,,NA,,,,,3,1,NA,3,4,NA,,1,,,NA,,,6151545,,
1986-01,CLAYBANK,45.417,-76.4,ON,,,NA,,,,,25,0,NA,44,0,NA,,9,,,NA,,,6101555,,
1986-01,COBDEN ONTARIO HYDRO,45.633,-76.867,ON,,,NA,,,,,15,6,NA,15,9,NA,,2,,,NA,,,6101675,,
1986-01,COBOURG STP,43.967,-78.183,ON,-5.4,0,0.1,8,0,-25,0,11.2,0,34,38.8,0,58,,8,,,NA,725.6,0,6151689,,
1986-01,COCHRANE,49.067,-81.033,ON,-19.3,0,NA,3,0,-42,0,64.8,0,NA,64.8,0,NA,,15,,,NA,1155,0,6071712,,
1986-01,COLD CREEK,43.917,-79.7,ON,,,NA,,,,,19.4,0,NA,29,0,NA,4,10,,,NA,,,6151750,,
1986-01,COLDWATER WARMINSTER,44.633,-79.533,ON,-8.3,4,NA,7.5,3,-27,4,82.2,0,NA,101.4,0,NA,40,14,,,NA,711.3,0,6111769,,
1986-01,COMBERMERE,45.367,-77.617,ON,-11.4,0,0.1,5,0,-36,0,30.8,0,67,52.2,0,82,24,14,,,NA,912.4,0,6101820,,
1986-01,CONISTON STP,46.483,-80.85,ON,-15.1,9,NA,4.5,5,-34,8,25.2,0,47,27.2,0,42,,9,,,NA,729,0,6061850,,
1986-01,COOKSTOWN,44.2,-79.683,ON,-7.4,0,0.5,5.5,0,-27.5,0,25.3,0,67,39.1,0,70,5,11,,,NA,788.1,0,6111859,,
1986-01,COPETOWN,43.25,-80.117,ON,-5.5,0,NA,6,0,-26.5,0,15.6,0,NA,31.6,0,NA,5,9,,,NA,727.2,0,6151866,,
1986-01,CORNWALL,45.017,-74.75,ON,-7.7,0,0.8,8,0,-25,0,35.6,0,75,72.2,0,95,,11,,,NA,797,0,6101874,,
1986-01,CORNWALL ONT HYDRO,45.033,-74.8,ON,-8.6,0,NA,6.5,0,-26.5,0,33.4,0,NA,61.5,0,NA,,11,93.4,0,NA,823.3,0,6101901,,
1986-01,COURTRIGHT,42.75,-82.45,ON,-4.2,0,0.4,9,0,-19.5,0,24.9,0,70,34.6,0,57,,10,,,NA,689.5,0,61219J1,,
1986-01,CRESSY,44.1,-76.85,ON,-6.3,0,-0.2,6.5,0,-24,0,42.2,0,79,68.4,0,77,,13,,,NA,753.4,0,61519JM,,
1986-01,CROMARTY,43.417,-81.333,ON,-6.3,0,NA,5,0,-24.5,0,45,0,NA,60.5,0,NA,10,18,,,NA,754.5,0,6141919,,
1986-01,CROW LAKE,44.733,-76.6,ON,,,NA,,,,,25.8,0,NA,49.8,0,NA,,11,,,NA,,,6101920,,
1986-01,CRYSTAL FALLS,46.45,-79.867,ON,-12.6,0,NA,6,0,-35,0,42,0,NA,51.6,0,NA,,17,,,NA,948.9,0,6081928,,
1986-01,CULLODEN EASEY,42.883,-80.85,ON,-5.9,0,-0.2,5,0,-24,0,33,0,87,46.6,0,63,11,13,,,NA,740.5,0,6141933,,
1986-01,DALHOUSIE MILLS,45.317,-74.467,ON,-10.1,0,1,6.5,0,-28.5,0,62.2,0,104,105,0,115,,17,,,NA,870.4,0,6101958,,
1986-01,DALKEITH PYM,45.433,-74.583,ON,,,NA,,,,,45,0,NA,80.6,0,NA,17,13,,,NA,,,6101962,,
1986-01,DELHI CDA,42.867,-80.55,ON,-5.2,0,0.2,7.5,0,-25.5,0,25.4,0,84,36.4,0,52,9,12,82.9,0,105,719.8,0,6131982,,
1986-01,DELTA,44.617,-76.133,ON,,,NA,,,,,33.6,0,NA,48.4,0,NA,,11,,,NA,,,6101986,,
