"","OFBN Plots","Name","UTM Zone","UTM Easting","UTM Northing","Elevation (m)...6","OFBN Latitude (Decimal Degrees)","OFBN Longitude (Decimal Degrees)","Province","Distance EC Station 100 km Website","EC Station Name 100 km Website","EC Climate ID","EC Latitude (Decimal Degrees)","EC Longitude (Decimal Degrees)","EC Latitude (hr min sec)","Longitude  (hr min sec)","Elevation (m)...17","First Year","Last Year","HLY First Year","HLY Last Year","DLY First Year","DLY Last Year","MLY First Year","MLY Last Year","Normal Data","STN_NAME_Data_Link","Note","...29"
"1",3,"OFBN MET P3","17 T","620260E","5155227N",402.915161132812,46.5398600511252,-79.4315628055483,"ONTARIO",18.47,"NORTH BAY AIRPORT","6085695",46.38,-79.4,462230000,-792409000,370.3,2017,2020,2017,2020,2017,2020,2017,2020,NA,NA,NA,NA
"2",3,"OFBN MET P3","17 T","620260E","5155227N",402.915161132812,46.5398600511252,-79.4315628055483,"ONTARIO",19.58,"NORTH BAY A","6085680",46.36,-79.42,462150000,-792527000,370.3,2014,2020,2014,2020,2014,2020,2014,2020,NA,NA,NA,NA
"3",3,"OFBN MET P3","17 T","620260E","5155227N",402.915161132812,46.5398600511252,-79.4315628055483,"ONTARIO",19.58,"NORTH BAY A","6085701",46.36,-79.42,462150000,-792527000,370.3,2013,2020,2013,2020,2013,2020,2013,2014,NA,NA,NA,NA
"4",3,"OFBN MET P3","17 T","620260E","5155227N",402.915161132812,46.5398600511252,-79.4315628055483,"ONTARIO",19.61,"NORTH BAY A","6085700",46.364,-79.423,462149000,-792522000,370.3,1939,2013,1953,2013,1939,2013,1939,2013,"Yes","* NORTH BAY A",NA,NA
"5",3,"OFBN MET P3","17 T","620260E","5155227N",402.915161132812,46.5398600511252,-79.4315628055483,"ONTARIO",24.97,"NORTH BAY","6085682",46.32,-79.47,461900000,-792800000,201.2,1887,1982,NA,NA,1887,1982,1887,1982,NA,NA,NA,NA
"6",27,"OFBN MET P27","17 T","476158E","5099464N",222.909790039062,46.0483373701572,-81.3081758748739,"ONTARIO",57.52,"MASSEY","6065006",46.193,-82.025,461135088,-820129022,200,1983,2018,NA,NA,1983,2018,1983,2006,"Yes","MASSEY",NA,NA
"7",27,"OFBN MET P27","17 T","476158E","5099464N",222.909790039062,46.0483373701572,-81.3081758748739,"ONTARIO",75.2,"SUDBURY A","6068153",46.63,-80.8,463732000,-804752000,348.4,2013,2020,2013,2018,2013,2020,NA,NA,NA,NA,NA,NA
"8",27,"OFBN MET P27","17 T","476158E","5099464N",222.909790039062,46.0483373701572,-81.3081758748739,"ONTARIO",75.2,"SUDBURY A","6068150",46.63,-80.8,463732000,-804752000,348.39,1954,2013,1954,2013,1954,2013,1954,2013,"Yes","* SUDBURY A","28 +",NA
"9",27,"OFBN MET P27","17 T","476158E","5099464N",222.909790039062,46.0483373701572,-81.3081758748739,"ONTARIO",75.9,"SUDBURY CLIMATE","6068145",46.63,-80.8,463756090,-804746080,348,2011,2018,2011,2018,2011,2018,NA,NA,"Almanac","44098",NA,NA
"10",40,"OFBN MET P40","16 T","688875E","5205945N",241.895629882812,46.9800847303122,-84.5165054686367,"ONTARIO",51.6,"SAULT STE MARIE 2","6057590",46.533,-84.333,463200000,-8.42e+08,211.8,1957,2002,NA,NA,1957,2002,1957,2002,"Yes","SAULT STE MARIE 2","39, 40","61 (39), 52 (40)"
"11",40,"OFBN MET P40","16 T","688875E","5205945N",241.895629882812,46.9800847303122,-84.5165054686367,"ONTARIO",55.06,"SAULT STE MARIE A","6057591",46.49,-84.51,462906000,-843035000,192,2012,2020,2012,2020,2012,2020,NA,NA,NA,NA,NA,NA
"12",40,"OFBN MET P40","16 T","688875E","5205945N",241.895629882812,46.9800847303122,-84.5165054686367,"ONTARIO",55.24,"SAULT STE MARIE A","6057592",46.483,-84.509,462900000,-843034000,192,1945,2012,1961,2012,1945,2012,1945,2012,"Yes","* SAULT STE MARIE A",NA,NA
"13",44,"OFBN MET P44","17 T","584742E","4811961N",276.983520507812,43.4557647630572,-79.9525605328381,"ONTARIO",18.59,"HAMILTON RBG CS","6153301",43.29,-79.91,431730000,-795430000,102,1997,2018,2000,2018,1997,2018,1997,2006,"Almanac","Almanac Averages and Extremes for September 22","to be confirmed as monthly only to 2006",NA
